地域名,時点,年齢区分,人口（男性）【人】,注記,人口（女性）【人】,注記,人口（男女計）【人】,注記
全国（日本）,1965年,40～44歳,2748642,,3256379,,6005021,
全国（日本）,1965年,35～39歳,3773472,,3780525,,7553997,
全国（日本）,1965年,30～34歳,4180969,,4143948,,8324917,
全国（日本）,1965年,25～29歳,4191561,,4243666,,8435227,
全国（日本）,1965年,20～24歳,4523969,,4603550,,9127519,
全国（日本）,1965年,15～19歳,5527355,,5420641,,10947996,
全国（日本）,1965年,10～14歳,4738325,,4579178,,9317503,
全国（日本）,1965年,5～9歳,4056194,,3913926,,7970120,
全国（日本）,1965年,0～4歳,4204772,,4036835,,8241607,
全国（日本）,1965年,総数,48692138,総務省統計局「国勢調査」による。,50516999,総務省統計局「国勢調査」による。,99209137,
全国（日本）,1970年,100歳以上,68,,261,,329,
全国（日本）,1970年,95～99歳,1432,,4869,,6301,
全国（日本）,1970年,90～94歳,16375,,44325,,60700,
全国（日本）,1970年,85～89歳,72469,,160492,,232961,
全国（日本）,1970年,80～84歳,243532,,413046,,656578,
全国（日本）,1970年,75～79歳,536369,,744062,,1280431,
全国（日本）,1970年,70～74歳,968076,,1182330,,2150406,
全国（日本）,1970年,65～69歳,1407870,,1597716,,3005586,
全国（日本）,1970年,60～64歳,1766393,,1985726,,3752119,
全国（日本）,1970年,55～59歳,2055135,,2400078,,4455213,
全国（日本）,1970年,50～54歳,2172383,,2669007,,4841390,
全国（日本）,1970年,45～49歳,2696819,,3222878,,5919697,
全国（日本）,1970年,40～44歳,3690875,,3702753,,7393628,
全国（日本）,1970年,35～39歳,4154678,,4118164,,8272842,
全国（日本）,1970年,30～34歳,4215776,,4225557,,8441333,
全国（日本）,1970年,25～29歳,4545780,,4602418,,9148198,
全国（日本）,1970年,20～24歳,5344885,,5382751,,10727636,
全国（日本）,1970年,15～19歳,4622873,,4544171,,9167044,
全国（日本）,1970年,10～14歳,4066571,,3911308,,7977879,
全国（日本）,1970年,5～9歳,4225903,,4041433,,8267336,
全国（日本）,1970年,0～4歳,4564915,,4342649,,8907564,
全国（日本）,1970年,総数,51369177,総務省統計局「国勢調査」による。,53295994,総務省統計局「国勢調査」による。,104665171,
全国（日本）,1975年,100歳以上,106,,468,,574,
全国（日本）,1975年,95～99歳,1946,,7011,,8957,
全国（日本）,1975年,90～94歳,19669,,52535,,72204,
全国（日本）,1975年,85～89歳,100926,,208139,,309065,
全国（日本）,1975年,80～84歳,307763,,500940,,808703,
全国（日本）,1975年,75～79歳,688306,,952701,,1641007,
全国（日本）,1975年,70～74歳,1147922,,1427960,,2575882,
全国（日本）,1975年,65～69歳,1571228,,1877809,,3449037,
全国（日本）,1975年,60～64歳,1935823,,2347911,,4283734,
全国（日本）,1975年,55～59歳,2072676,,2600973,,4673649,
全国（日本）,1975年,50～54歳,2616771,,3164934,,5781705,
全国（日本）,1975年,45～49歳,3656501,,3704909,,7361410,
全国（日本）,1975年,40～44歳,4125063,,4099007,,8224070,
全国（日本）,1975年,35～39歳,4212566,,4209754,,8422320,
全国（日本）,1975年,30～34歳,4624591,,4621200,,9245791,
全国（日本）,1975年,25～29歳,5426289,,5368294,,10794583,
全国（日本）,1975年,20～24歳,4563526,,4507983,,9071509,
全国（日本）,1975年,15～19歳,4040280,,3908266,,7948546,
全国（日本）,1975年,10～14歳,4237041,,4045023,,8282064,
全国（日本）,1975年,5～9歳,4583653,,4354368,,8938021,
全国（日本）,1975年,0～4歳,5127359,,4873248,,10000607,
全国（日本）,1975年,総数,55090673,総務省統計局「国勢調査」による。,56848970,総務省統計局「国勢調査」による。,111939643,
全国（日本）,1980年,100歳以上,176,,813,,989,
全国（日本）,1980年,95～99歳,3127,,10217,,13344,
全国（日本）,1980年,90～94歳,29924,,75123,,105047,
全国（日本）,1980年,85～89歳,138732,,271258,,409990,
全国（日本）,1980年,80～84歳,417715,,675928,,1093643,
全国（日本）,1980年,75～79歳,848714,,1187971,,2036685,
全国（日本）,1980年,70～74歳,1317661,,1705316,,3022977,
全国（日本）,1980年,65～69歳,1743659,,2221022,,3964681,
全国（日本）,1980年,60～64歳,1945930,,2519317,,4465247,
全国（日本）,1980年,55～59歳,2511379,,3102126,,5613505,
全国（日本）,1980年,50～54歳,3546963,,3653059,,7200022,
全国（日本）,1980年,45～49歳,4033146,,4057241,,8090387,
全国（日本）,1980年,40～44歳,4158990,,4178510,,8337500,
全国（日本）,1980年,35～39歳,4594716,,4606865,,9201581,
全国（日本）,1980年,30～34歳,5421545,,5350186,,10771731,
全国（日本）,1980年,25～29歳,4545468,,4495887,,9041355,
全国（日本）,1980年,20～24歳,3960116,,3880910,,7841026,
全国（日本）,1980年,15～19歳,4223685,,4048560,,8272245,
全国（日本）,1980年,10～14歳,4594813,,4364815,,8959628,
全国（日本）,1980年,5～9歳,5142487,,4889547,,10032034,
全国（日本）,1980年,0～4歳,4366100,,4149316,,8515416,
全国（日本）,1980年,総数,57593769,総務省統計局「国勢調査」による。,59466627,総務省統計局「国勢調査」による。,117060396,
全国（日本）,1985年,100歳以上,372,,1386,,1758,
全国（日本）,1985年,95～99歳,5765,,16962,,22727,
全国（日本）,1985年,90～94歳,46517,,110711,,157228,
全国（日本）,1985年,85～89歳,203321,,400213,,603534,
全国（日本）,1985年,80～84歳,542243,,890694,,1432937,
全国（日本）,1985年,75～79歳,1017428,,1475915,,2493343,
全国（日本）,1985年,70～74歳,1503595,,2059802,,3563397,
全国（日本）,1985年,65～69歳,1781008,,2412411,,4193419,
全国（日本）,1985年,60～64歳,2379902,,3025636,,5405538,
全国（日本）,1985年,55～59歳,3409374,,3590371,,6999745,
全国（日本）,1985年,50～54歳,3926414,,4006580,,7932994,
全国（日本）,1985年,45～49歳,4092121,,4144493,,8236614,
全国（日本）,1985年,40～44歳,4551877,,4583077,,9134954,
全国（日本）,1985年,35～39歳,5398230,,5339814,,10738044,
全国（日本）,1985年,30～34歳,4558265,,4495959,,9054224,
全国（日本）,1985年,25～29歳,3948330,,3875072,,7823402,
全国（日本）,1985年,20～24歳,4165995,,4034559,,8200554,
全国（日本）,1985年,15～19歳,4600427,,4379520,,8979947,
全国（日本）,1985年,10～14歳,5146970,,4895151,,10042121,
全国（日本）,1985年,5～9歳,4373058,,4158776,,8531834,
全国（日本）,1985年,0～4歳,3818777,,3640486,,7459263,
全国（日本）,1985年,総数,59497316,総務省統計局「国勢調査」による。,61551607,総務省統計局「国勢調査」による。,121048923,
全国（日本）,1990年,100歳以上,647,,2576,,3223,
全国（日本）,1990年,95～99歳,9676,,28546,,38222,
全国（日本）,1990年,90～94歳,71037,,176882,,247919,
全国（日本）,1990年,85～89歳,275680,,557370,,833050,
全国（日本）,1990年,80～84歳,678385,,1154473,,1832858,
全国（日本）,1990年,75～79歳,1197457,,1820756,,3018213,
全国（日本）,1990年,70～74歳,1559972,,2257562,,3817534,
全国（日本）,1990年,65～69歳,2194783,,2908793,,5103576,
全国（日本）,1990年,60～64歳,3236549,,3508465,,6745014,
全国（日本）,1990年,55～59歳,3783367,,3941521,,7724888,
全国（日本）,1990年,50～54歳,3997248,,4091138,,8088386,
全国（日本）,1990年,45～49歳,4482298,,4535714,,9018012,
全国（日本）,1990年,40～44歳,5349985,,5308305,,10658290,
全国（日本）,1990年,35～39歳,4524829,,4478951,,9003780,
全国（日本）,1990年,30～34歳,3925353,,3862332,,7787685,
全国（日本）,1990年,25～29歳,4078469,,3992244,,8070713,
全国（日本）,1990年,20～24歳,4468199,,4331922,,8800121,
全国（日本）,1990年,15～19歳,5122215,,4884872,,10007087,
全国（日本）,1990年,10～14歳,4369880,,4156905,,8526785,
全国（日本）,1990年,5～9歳,3821833,,3644724,,7466557,
全国（日本）,1990年,0～4歳,3326039,,3166858,,6492897,
全国（日本）,1990年,総数,60696724,総務省統計局「国勢調査」による。,62914443,総務省統計局「国勢調査」による。,123611167,
全国（日本）,1995年,100歳以上,1205,,4971,,6176,
全国（日本）,1995年,95～99歳,15705,,53239,,68944,
全国（日本）,1995年,90～94歳,100219,,267583,,367802,
全国（日本）,1995年,85～89歳,361957,,774866,,1136823,
全国（日本）,1995年,80～84歳,824492,,1476273,,2300765,
